Go on.,Poursuis.
Hello!,Salut !
I see.,Je comprends.
I try.,J'essaye.
I won!,J'ai gagné !
Attack!,Attaquez !
Cheers!,Santé !
Got it!,Compris !
I'm 19.,J'ai 19 ans.
I'm OK.,Je vais bien.
We try.,On essaye.
We won.,Nous avons gagné.
Really?,Ah bon ?
Thanks.,Merci !
Go away.,Allez-vous en !
Go home.,Rentrez à la maison.
I drive.,Je conduis.
I smoke.,Je fume.
I snore.,Je ronfle.
I stink.,Je pue.
I tried.,J'ai tenté.
I waved.,J’ai fait signe.
I'll go.,J'irai.
I'm Tom.,Je suis Tom.
I'm fat.,Je suis gras.
Keep it.,Gardez-le !
Kiss me.,Embrasse-moi.
Am I fat?,Suis-je grosse ?
Ask them.,Demande-leur.
Find Tom.,Trouvez Tom.
Fix this.,Réparez ceci.
He tries.,Il essaye.
Tom is supposed to call around 2:30.,Tom est censé appeler vers deux heures et demie.
Tom is supposed to call around 2:30.,Tom est censé appeler vers quatorze heures trente.
Tom is the father of three children.,Tom est le père de trois enfants.
Tom is the one that doesn't like me.,Tom est celui qui ne m'aime pas.
Tom is the tallest one in the class.,Tom est le plus grand de la classe.
Tom is trying not to worry too much.,Tom essaie de ne pas trop s'inquiéter.
Tom is used to staying up all night.,Tom est habitué à rester debout toute la nuit.
"Tom is usually very quiet, isn't he?","Tom est généralement très silencieux, n'est-ce pas ?"
"Tom is very good at poker, isn't he?","Tom est très bon au poker, n'est-ce pas?"
"Tom is very grouchy today, isn't he?","Tom est très grognon aujourd'hui, n'est-ce pas?"
"Tom is way taller than me, isn't he?","Tom est beaucoup plus grand que moi, non?"
"Tom is wearing a new coat, isn't he?","Tom porte un nouveau manteau, n'est-ce pas?"
"Tom is working hard today, isn't he?","Tom a beaucoup de travail aujourd'hui, n'est-ce pas?"
"Tom is worried about that, isn't he?","Tom s'en inquiète, n'est-ce pas?"
"Tom is your older brother, isn't he?","Tom est ton frère aîné, n'est-ce pas?"
Tom isn't as tall as his father yet.,Tom n'est pas encore aussi grand que son père.
Tom kept on making the same mistake.,Tom continuait à commettre la même erreur.
Tom kissed Mary and she slapped him.,"Tom a embrassé Marie, et elle l'a giflé."
Tom knows a lot of stuff about Mary.,Tom en sait beaucoup au sujet de Mary.
Tom knows almost nothing about Mary.,Tom ne sait presque rien à propos de Mary.
Tom lived in Boston for a long time.,Tom a vécu à Boston pendant longtemps.
Tom lives in the apartment above us.,Tom habite l'appartement du dessus.
Tom lives in the worst part of town.,Tom vit dans la pire partie de la ville.
Tom looks a lot like someone I know.,Tom ressemble beaucoup à quelqu'un que je connais.
"Tom loves Mary, but Mary loves John.","Tom aime Marie, mais Marie aime John."
Tom made a lot of spelling mistakes.,Tom a fait beaucoup de fautes d'orthographe.
Tom made room for Mary on the bench.,Tom fit de la place pour Marie sur le banc.
Tom maintained that he was innocent.,Tom a maintenu qu'il était innocent.
Tom makes his own bed every morning.,Tom fait lui-même son lit tous les matins.
Tom may never be able to walk again.,Tom ne sera peut-être plus jamais capable de marcher.
Tom may never be able to walk again.,Tom sera peut-être incapable de marcher à nouveau.
Tom may not be as happy as he seems.,Tom n'est peut-être pas aussi heureux qu'il ne le paraît.
Tom met Mary while he was in Boston.,Tom a rencontré Mary quand il était à Boston.
Tom mistook me for my older brother.,Tom m'a confondu avec mon grand frère.
Tom mistook me for my older brother.,Tom m'a pris pour mon frère aîné.
Tom moved to Boston three years ago.,Tom a déménagé à Boston il y a trois ans.
Tom never gives anything to anybody.,Tom ne donne jamais rien à personne.
Tom never seems to know what to say.,Tom semble ne jamais savoir quoi dire.
Tom passed most of the time fishing.,Tom passait le plus clair de son temps à pêcher.
Tom plays tennis three times a week.,Tom joue au tennis trois fois par semaine.
Tom plays tennis three times a week.,Thomas joue au tennis trois fois par semaine.
Tom poured more wine into his glass.,Tom versa plus de vin dans son verre.
Tom poured more wine into his glass.,Tom a versé plus de vin dans son verre.
Tom pretended that he didn't see it.,Tom a prétendu qu'il ne l'avait pas vu.
Tom pretended that he didn't see it.,Tom prétendit qu'il ne l'avait pas vu.
Tom promised never to do that again.,Tom a promis de ne plus jamais refaire ça.
Tom promised never to do that again.,Tom promit de ne jamais refaire cela.
Tom promised to be here before 2:30.,Tom a promis d'être là avant 2h30.
Tom pulled a box from under the bed.,Tom tira une boîte de sous le lit.
Tom pulled a box from under the bed.,Tom a tiré une boîte de sous le lit.
Tom put his pistol under the pillow.,Tom mit son pistolet sous l'oreiller.
Tom put the thermometer on the wall.,Tom a mis le thermomètre sur le mur.
Tom put thirty dollars on the table.,Tom mit trente dollars sur la table.
Tom put thirty dollars on the table.,Tom a mis trente dollars sur la table.
Tom put too much sugar in my coffee.,Tom a mis trop de sucre dans mon café.
Tom really hates this kind of thing.,Tom a horreur de ce genre de choses.
Tom remained silent for a long time.,Tom resta silencieux pendant un long moment.
Tom remained silent for a long time.,Tom est resté silencieux pendant un long moment.
Tom remained unmarried all his life.,Tom est resté célibataire toute sa vie.
Tom reminded Mary to be more polite.,Tom rappela à Mary d'être plus polie.
Tom said he found something strange.,Tom a dit qu'il avait trouvé quelque chose d'étrange.
Tom said he thought Mary was afraid.,Tom a dit qu'il croyait que Mary avait eu peur.
Tom said he thought Mary was lonely.,Tom a dit qu'il croyait que Mary était seule.
Tom said he thought Mary was scared.,Tom a dit qu'il croyait que Mary avait peur.
Tom said he thought Mary was sleepy.,Tom a dit qu'il croyait que Mary avait sommeil.
Tom said he wanted to quit the band.,Tom a dit qu'il voulait quitter le groupe.
Tom said some men had attacked Mary.,Tom a dit que des hommes avaient agressé Mary.
Tom said that Mary always does that.,Tom a dit que Mary faisait tout le temps cela.
Tom said that Mary always does that.,Tom a dit que Mary le faisait tout le temps.
Tom said that Mary is in Boston now.,Tom a dit que Mary était à Boston en ce moment.
Tom said that Mary looked exhausted.,Tom a dit que Mary avait l'air exténuée.
Tom said that Mary looked skeptical.,Tom a dit que Mary avait l'air sceptique.
Tom said that Mary seldom does that.,Tom a dit que Mary faisait rarement cela.
Tom said that Mary seldom does that.,Tom a dit que Mary le faisait rarement.
Tom said that Mary was a bad driver.,Tom a dit que Mary était mauvaise conductrice.
Tom said that Mary was ambidextrous.,Tom a dit que Mary était ambidextre.
Tom said that Mary was disorganized.,Tom a dit que Mary était mal organisée.
Tom said that Mary was very unhappy.,Tom a dit que Mary était très malheureuse.
Tom said that Mary wasn't in Boston.,Tom a dit que Mary n'était pas à Boston.
Tom said that Mary wasn't satisfied.,Tom a dit que Mary n'était pas satisfaite.
Tom said that Mary wasn't surprised.,Tom a dit que Mary n'était pas surprise.
Tom said that you tried to kill him.,Tom a dit que tu avais essayé de le tuer.
Tom says he doesn't know what to do.,Tom dit qu'il ne sait pas quoi faire.
Tom says he eats more when he's sad.,Tom dit qu'il mange plus quand il est triste.
Tom says he won't come to our party.,Tom dit qu'il ne viendra à notre fête.
Tom scratched his name off the list.,Tom raya son nom de la liste.
Tom scratched his name off the list.,Tom a rayé son nom de la liste.
Tom seems to be waiting for someone.,Tom semble attendre quelqu'un.
Tom seldom puts sugar in his coffee.,Tom met rarement du sucre dans son café.
Tom shouldn't be allowed to do that.,Tom ne devrait pas être autorisé à faire cela.
Tom shouldn't do that kind of thing.,Tom ne devrait pas faire ce genre de choses.
Tom shouldn't have done what he did.,Tom n'aurait pas du faire ce qu'il a fait.
Tom showed us a photo of his mother.,Tom nous montra une photo de sa mère.
Tom slammed the door in Mary's face.,Tom claqua la porte au nez de Mary.
Tom slept on an inflatable mattress.,Tom a dormi sur un matelas gonflable.
Tom sold his car without hesitation.,Tom a vendu sa voiture sans hésitation.
"Tom speaks French, and so does Mary.",Tom parle français et Mary aussi.
Tom stayed in Boston for three days.,Tom est resté à Boston pendant trois jours.
Tom stayed in Boston for three days.,Tom resta à Boston pendant trois jours.
Tom still isn't taking us seriously.,Tom ne nous prend toujours pas au sérieux.
Tom takes very good care of his car.,Tom prend très soin de sa voiture.
Tom thinks this price is reasonable.,Tom pense que ce prix est raisonnable.
Tom thought Mary could speak French.,Tom pensait que Mary pouvait parler français.
Tom thought Mary would remember him.,Tom pensait que Mary se serait souvenue de lui.
Tom thought everything was in order.,Tom pensait que tout était en ordre.
Tom threw an empty beer can at Mary.,Tom a lancé une canette de bière vide à Mary.
Tom told Mary he could eat anything.,Tom a dit à Mary qu'il pouvait manger de tout.
Tom told Mary he could eat anything.,Tom dit à Mary qu'il pouvait manger de tout.
Tom told Mary he had to leave early.,Tom a dit à Mary qu'il devait partir tôt.
Tom told Mary he had to leave early.,Tom dit à Mary qu'il devait partir tôt.
Tom told Mary he had to talk to her.,Tom a dit à Mary qu'il avait à lui parler.
Tom told Mary he had to talk to her.,Tom dit à Mary qu'il avait à lui parler.
Tom told Mary he'd never lie to her.,Tom a dit à Mary qu'il ne lui mentirait jamais.
Tom told Mary he'd never lie to her.,Tom dit à Mary qu'il ne lui mentirait jamais.
Tom told Mary not to swim with John.,Tom a dit à Mary de ne pas nager avec John.
Tom told Mary that he was depressed.,Tom a dit à Mary qu'il était déprimé.
Tom told Mary to keep that a secret.,Tom a dit à Mary de garder ça secret.
Tom told Mary to keep that a secret.,Tom a dit à Mary de garder cela secret.
Tom told Mary to keep that a secret.,Tom dit à Mary de garder ça secret.
Tom told Mary to keep that a secret.,Tom dit à Mary de garder cela secret.
"Tom told a joke, but nobody laughed.","Tom a raconté une blague, mais personne n'a ri."
"Tom told a joke, but nobody laughed.","Tom raconta une blague, mais personne ne rit."
Tom told me he was looking for Mary.,Tom m'a dit qu'il cherchait Mary.
Tom told me that Mary was on a diet.,Tom m'a dit que Mary était au régime.
Tom told me that he hated Christmas.,Tom m'a avoué qu'il détestait Noël.
Tom told me that he'd already eaten.,Tom m'a dit qu'il avait déjà mangé.
Tom told me which book I should buy.,Tom m'a dit quel livre je devrais acheter.
Tom took a book down from the shelf.,Tom prit un livre sur l'étagère.
